French,English
chercher,search
seulement,only
police,police
pensais,thought
aide,help
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
eux,them
ville,city
chaque,each
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
parle,speak
savais,knew
attention,Warning
voici,here is
donner,give
leurs,their
donné,given
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
trouve,find
premier,first
première,first
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
vers,towards
minutes,minutes
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
